"Prebivalci glede na aktivnost, po spolu in kohezijskih regijah (v 1000), Slovenija, letno"

"KOHEZIJSKA REGIJA";"SKUPINE PREBIVALSTVA";"SPOL";"LETO";Prebivalci glede na aktivnost
"SLOVENIJA";"....Brezposelni - SKUPAJ";"Spol - SKUPAJ";"2008";46
"SLOVENIJA";"....Brezposelni - SKUPAJ";"Spol - SKUPAJ";"2009";61
"SLOVENIJA";"....Brezposelni - SKUPAJ";"Spol - SKUPAJ";"2010";76
"SLOVENIJA";"....Brezposelni - SKUPAJ";"Spol - SKUPAJ";"2011";84
"SLOVENIJA";"....Brezposelni - SKUPAJ";"Spol - SKUPAJ";"2012";90
"SLOVENIJA";"....Brezposelni - SKUPAJ";"Spol - SKUPAJ";"2013";102
"SLOVENIJA";"....Brezposelni - SKUPAJ";"Spol - SKUPAJ";"2014";99
"SLOVENIJA";"....Brezposelni - SKUPAJ";"Spol - SKUPAJ";"2015";91
"SLOVENIJA";"....Brezposelni - SKUPAJ";"Spol - SKUPAJ";"2016";80
"SLOVENIJA";"....Brezposelni - SKUPAJ";"Spol - SKUPAJ";"2017";67
"SLOVENIJA";"....Brezposelni - SKUPAJ";"Spol - SKUPAJ";"2018";53
