"Število vkljuèenih v formalno izobraževanje na 1000 prebivalcev, po vrsti programa in statistièni regiji stalnega prebivališèa, Slovenija, letno"

"ŠOLSKO LETO";"STATISTIÈNA REGIJA STALNEGA PREBIVALIŠÈA";"Uèenci";"Dijaki";"Odrasli v osnovnošolskem izob.";"Odrasli v srednješolskem izob.";"Študenti"
"2016/17";"Pomurska";77.25;32.26;0.29;6.09;32.86
"2016/17";"Podravska";77.00;32.84;0.50;6.56;33.81
"2016/17";"Koroška";83.92;38.44;0.48;7.41;37.58
"2016/17";"Savinjska";86.72;37.46;0.51;8.64;37.97
"2016/17";"Zasavska";80.34;35.37;0.24;9.97;36.12
"2016/17";"Posavska";81.99;36.60;0.28;8.31;37.47
"2016/17";"Jugovzhodna Slovenija";88.93;37.06;2.30;10.36;38.39
"2016/17";"Osrednjeslovenska";87.63;34.44;0.28;10.66;39.01
"2016/17";"Gorenjska";91.19;37.04;0.31;10.28;38.46
"2016/17";"Primorsko-notranjska";84.27;34.38;0.23;9.70;35.54
"2016/17";"Goriška";83.14;36.34;0.21;12.22;40.85
"2016/17";"Obalno-kraška";75.63;29.83;0.39;11.45;30.78
"2017/18";"Pomurska";78.17;31.81;0.24;5.66;31.39
"2017/18";"Podravska";78.52;33.12;0.35;6.09;32.23
"2017/18";"Koroška";84.45;36.88;0.62;7.14;36.61
"2017/18";"Savinjska";88.18;37.26;0.38;7.99;36.08
"2017/18";"Zasavska";83.02;34.38;0.26;8.99;34.70
"2017/18";"Posavska";83.44;37.26;0.35;7.47;34.37
"2017/18";"Jugovzhodna Slovenija";91.06;36.45;2.41;9.63;36.30
"2017/18";"Osrednjeslovenska";90.02;34.38;0.19;9.98;37.70
"2017/18";"Gorenjska";92.99;37.30;0.25;9.62;36.40
"2017/18";"Primorsko-notranjska";88.07;34.51;0.08;9.63;33.99
"2017/18";"Goriška";86.00;35.72;0.19;11.77;39.52
"2017/18";"Obalno-kraška";78.22;29.44;0.43;10.78;29.19
"2018/19";"Pomurska";78.62;32.47;...;...;29.75
"2018/19";"Podravska";79.40;32.76;...;...;31.09
"2018/19";"Koroška";85.47;35.74;...;...;35.96
"2018/19";"Savinjska";89.41;36.28;...;...;35.34
"2018/19";"Zasavska";84.32;32.72;...;...;34.64
"2018/19";"Posavska";85.26;36.01;...;...;32.17
"2018/19";"Jugovzhodna Slovenija";93.03;35.62;...;...;34.72
"2018/19";"Osrednjeslovenska";91.64;33.96;...;...;35.98
"2018/19";"Gorenjska";94.59;36.44;...;...;35.17
"2018/19";"Primorsko-notranjska";89.81;33.69;...;...;33.97
"2018/19";"Goriška";88.48;34.53;...;...;37.74
"2018/19";"Obalno-kraška";80.37;29.51;...;...;28.34
